Orthogroup	Uloborus_diversus	Drosophila_melanogaster
OG0000019	jg11914.t1.p1	FBpp0110063, FBpp0077236, FBpp0289528, FBpp0296986, FBpp0077235, FBpp0077238, FBpp0292841, FBpp0292842, FBpp0289527, FBpp0289151, FBpp0289145
OG0000023	jg15601.t1.p1, jg39774.t1.p1	FBpp0071647, FBpp0084155, FBpp0303320
OG0000024	GJZJ01265084.1.p1, jg8749.t1.p1, GJZJ01173897.1.p1, jg30242.t1.p1, GJZJ01217852.1.p2, GJZJ01217852.1.p1, GJZJ01265630.1.p1, jg15017.t1.p1, GJZJ01232087.1.p3, GJZJ01067949.1.p1, GJZJ01212533.1.p1, GJZJ01014442.1.p1, GJZJ01054051.1.p1, GJZJ01114673.1.p1, GJZJ01212919.1.p1, jg36870.t1.p1, GJZJ01058030.1.p1	FBpp0077881
OG0000027	GJZJ01190215.1.p1, GJZJ01053494.1.p1, GJZJ01217828.1.p1, GJZJ01078701.1.p1, GJZJ01103123.1.p1, GJZJ01174934.1.p1, GJZJ01102959.1.p1, GJZJ01140189.1.p1, GJZJ01172827.1.p1, GJZJ01260069.1.p1, jg14919.t1.p1, GJZJ01214797.1.p1, GJZJ01118530.1.p1, GJZJ01079948.1.p1, GJZJ01149203.1.p1, GJZJ01137096.1.p1, GJZJ01149462.1.p1, GJZJ01279020.1.p1, GJZJ01207815.1.p1, GJZJ01231862.1.p1, GJZJ01231862.1.p2, GJZJ01015005.1.p1, GJZJ01276829.1.p1	FBpp0291497, FBpp0087744, FBpp0291496
OG0000028	GJZJ01037218.1.p1, GJZJ01045816.1.p1, jg10764.t1.p1, jg22463.t1.p1, GJZJ01259231.1.p1, jg41537.t1.p1, GJZJ01266385.1.p1, GJZJ01024778.1.p1, GJZJ01132891.1.p1, jg12188.t1.p1, GJZJ01199207.1.p1, jg10072.t1.p1, GJZJ01261841.1.p1, GJZJ01271732.1.p1, GJZJ01074222.1.p1, GJZJ01119872.1.p1, GJZJ01040858.1.p1, jg29580.t1.p1, jg30247.t1.p1, GJZJ01068709.1.p1, jg44671.t1.p1, GJZJ01150208.1.p1, jg2096.t1.p1, jg21253.t1.p1, GJZJ01005430.1.p1, jg2982.t1.p1, GJZJ01255134.1.p1, GJZJ01181043.1.p1	FBpp0288414
OG0000029	jg44865.t1.p1, GJZJ01257769.1.p2, jg40320.t1.p1, jg40331.t1.p1, jg40327.t1.p1, jg40319.t1.p1, jg40330.t1.p1, GJZJ01161661.1.p1, GJZJ01011610.1.p2, GJZJ01120352.1.p1, GJZJ01143066.1.p1, GJZJ01191001.1.p1	FBpp0085818, FBpp0085814, FBpp0085816, FBpp0087925, FBpp0086261, FBpp0070683, FBpp0079876, FBpp0080090, FBpp0077623, FBpp0077083, FBpp0073555
OG0000030	jg29139.t1.p1	FBpp0312017, FBpp0072820, FBpp0111297
OG0000030	GJZJ01039080.1.p1, GJZJ01016988.1.p2, GJZJ01214312.1.p1, jg29142.t1.p1, jg29140.t2.p1, GJZJ01163961.1.p1, GJZJ01185808.1.p1, jg29140.t1.p1, GJZJ01183738.1.p1, jg29137.t1.p1, GJZJ01009963.1.p1, GJZJ01090031.1.p1, jg30514.t1.p1, GJZJ01149607.1.p1, GJZJ01072042.1.p2	FBpp0288846
OG0000031	jg31740.t1.p1, GJZJ01061287.1.p1, GJZJ01130917.1.p1, GJZJ01051279.1.p1, GJZJ01153229.1.p3	FBpp0301551
OG0000031	GJZJ01027816.1.p1, GJZJ01067385.1.p1, jg31743.t1.p1, GJZJ01072114.1.p1, jg24696.t1.p1, jg31744.t2.p1, jg24695.t1.p1, jg24695.t3.p1	FBpp0088258, FBpp0088259, FBpp0110206
OG0000031	jg29867.t1.p1, jg31518.t1.p1, GJZJ01007874.1.p1, jg31873.t1.p1, jg19222.t2.p1, GJZJ01203437.1.p1, GJZJ01174755.1.p1	FBpp0110195, FBpp0078739, FBpp0088541, FBpp0307912, FBpp0083391
OG0000034	GJZJ01182528.1.p1, jg26828.t1.p1, GJZJ01018353.1.p1, GJZJ01076299.1.p1, GJZJ01232043.1.p1, GJZJ01081440.1.p1, jg14442.t1.p1, GJZJ01214751.1.p1, GJZJ01208875.1.p1, GJZJ01011137.1.p1	FBpp0290455, FBpp0300164, FBpp0074908, FBpp0074909
OG0000043	jg43977.t2.p1, GJZJ01121389.1.p1, jg28587.t1.p1, GJZJ01136004.1.p1, GJZJ01160785.1.p1, jg28971.t1.p1, GJZJ01055164.1.p1, GJZJ01088509.1.p1, jg28582.t1.p1, GJZJ01205919.1.p1, GJZJ01098954.1.p1, jg28586.t1.p1, jg44689.t1.p1, GJZJ01057813.1.p1, jg28578.t1.p1, GJZJ01075857.1.p1, GJZJ01201375.1.p1, GJZJ01005127.1.p1, jg22785.t1.p1, jg22786.t1.p2, GJZJ01030985.1.p1, jg10393.t1.p1, GJZJ01192220.1.p1, GJZJ01206333.1.p1, jg4037.t1.p1, jg39159.t1.p1, GJZJ01093105.1.p1, jg28576.t1.p1, GJZJ01045639.1.p1, GJZJ01120127.1.p1, jg43980.t1.p1, GJZJ01193277.1.p1, jg15265.t1.p1, jg39166.t1.p1, jg39160.t1.p1, jg28580.t1.p1	FBpp0289897
OG0000046	GJZJ01228362.1.p1, jg36432.t1.p1, jg10640.t1.p1, jg11591.t1.p2, GJZJ01173010.1.p1, jg2329.t1.p1, jg2330.t1.p1, GJZJ01196708.1.p1	FBpp0111480
OG0000046	GJZJ01259596.1.p1	FBpp0099611
OG0000046	GJZJ01273544.1.p1, GJZJ01217847.1.p1, jg22583.t1.p1, jg22610.t1.p1, jg22606.t1.p1, jg22590.t1.p1	FBpp0082641, FBpp0271905, FBpp0271904
OG0000046	jg12286.t1.p1, jg12024.t1.p1	FBpp0291650
OG0000046	jg24119.t1.p1, GJZJ01239975.1.p1, jg11595.t1.p1, GJZJ01253605.1.p1, jg2340.t1.p1, jg2339.t1.p1	FBpp0291483
OG0000047	GJZJ01161397.1.p1, jg21507.t1.p1, GJZJ01024403.1.p1	FBpp0086719
OG0000048	jg26919.t1.p1, jg16145.t1.p1, jg14446.t1.p1, jg22460.t1.p1, GJZJ01116741.1.p1, GJZJ01094606.1.p1, GJZJ01125238.1.p1, jg4068.t1.p1, jg33790.t1.p1, GJZJ01267960.1.p1, jg2944.t1.p1, jg14312.t1.p1, jg7013.t1.p1, jg42107.t1.p1, jg36470.t1.p1, jg16044.t1.p1, jg20281.t1.p1, GJZJ01001348.1.p1, jg25430.t1.p1, jg2167.t1.p1, jg30520.t1.p1, jg9746.t1.p1, jg42003.t1.p1, jg38244.t1.p1, jg25070.t1.p1, GJZJ01072786.1.p1, jg43470.t1.p1, jg35385.t1.p1, jg27423.t1.p1, jg20847.t1.p1, GJZJ01008178.1.p1, jg42106.t1.p1, jg43469.t1.p1, GJZJ01185682.1.p1, GJZJ01134563.1.p1, GJZJ01063364.1.p1, jg42094.t1.p1, jg18927.t1.p1, GJZJ01195906.1.p1, GJZJ01264055.1.p1, GJZJ01199090.1.p1, jg15834.t1.p1, jg25541.t1.p1, jg41634.t1.p1, jg40068.t1.p1, jg38425.t1.p1, jg45327.t1.p1, jg40067.t1.p1, jg13642.t1.p1, GJZJ01218410.1.p1, GJZJ01069564.1.p1, jg24265.t1.p1, jg12117.t1.p1, GJZJ01029248.1.p1, jg7115.t1.p1, jg23522.t1.p1, GJZJ01203047.1.p1, jg24351.t1.p1, jg40894.t1.p1, jg18602.t1.p1, jg41384.t1.p1, GJZJ01272407.1.p1, jg17141.t1.p1, jg17149.t1.p1, jg17139.t1.p1, jg3968.t1.p1, jg22831.t2.p1, jg3352.t1.p1, jg18581.t1.p1, jg5185.t1.p1, jg32689.t1.p1, jg25315.t1.p1, GJZJ01085551.1.p1, jg17425.t1.p1, jg41475.t1.p1, jg41397.t1.p1, jg43624.t1.p1, jg8009.t1.p1, GJZJ01176085.1.p1, jg671.t1.p1, jg674.t1.p1, GJZJ01025547.1.p1, GJZJ01079021.1.p1, jg24681.t1.p1, jg12095.t1.p1, GJZJ01266761.1.p1, GJZJ01192067.1.p1, jg468.t1.p1, GJZJ01019012.1.p1, GJZJ01132410.1.p1, jg19566.t1.p1, jg38918.t1.p1, jg41208.t1.p1, GJZJ01167075.1.p2, jg35435.t1.p1, jg9193.t1.p1, GJZJ01009019.1.p3, GJZJ01059608.1.p1, GJZJ01210732.1.p1, jg25508.t1.p1, GJZJ01157129.1.p1, GJZJ01178406.1.p1, jg42848.t1.p1, jg5923.t1.p1, jg14689.t1.p1, jg5527.t1.p1, GJZJ01161685.1.p2, jg12926.t1.p1, jg40498.t1.p1, jg41024.t1.p1, jg7682.t1.p1, GJZJ01194373.1.p1, jg19370.t1.p1, jg39390.t1.p1, GJZJ01006673.1.p1, GJZJ01157548.1.p1, GJZJ01009019.1.p2, jg45085.t1.p1, GJZJ01070599.1.p1, GJZJ01060276.1.p1, jg40415.t1.p1, jg6800.t1.p1, GJZJ01172423.1.p1, jg5367.t1.p1, jg15243.t1.p1, GJZJ01122203.1.p1, jg7370.t1.p1, jg7370.t2.p1, jg831.t1.p1, jg41311.t1.p1, jg37833.t1.p1, GJZJ01149466.1.p1, jg944.t1.p1, jg35436.t1.p1, jg33950.t1.p1, jg17556.t1.p1, jg29521.t1.p1, jg14674.t1.p1, jg40757.t1.p1, jg20259.t1.p1, jg16080.t1.p1, GJZJ01060276.1.p2, jg30944.t1.p1, jg9088.t1.p1, jg2386.t1.p1, jg30605.t1.p1, GJZJ01148864.1.p1, GJZJ01032004.1.p1, jg36346.t1.p1, GJZJ01028731.1.p1, jg6340.t1.p1, jg10284.t1.p1, GJZJ01145100.1.p1, jg21817.t1.p1, jg33686.t1.p1, jg39970.t1.p1, jg26314.t2.p1, GJZJ01172423.1.p2, GJZJ01077932.1.p1, jg43549.t1.p1, jg3711.t1.p1, jg41092.t1.p1, GJZJ01008361.1.p1, jg42280.t1.p1, jg20197.t1.p1, jg16830.t1.p1, jg41967.t1.p1, GJZJ01237498.1.p2, jg42245.t1.p1, jg42244.t1.p1, jg17056.t1.p1, GJZJ01237498.1.p1, jg43377.t1.p1, jg16608.t1.p1	FBpp0081416
OG0000049	jg33224.t1.p1, GJZJ01237287.1.p1, GJZJ01145440.1.p1, GJZJ01222668.1.p2, GJZJ01222668.1.p1, GJZJ01146645.1.p1, GJZJ01193045.1.p1, jg29810.t1.p1, GJZJ01233781.1.p1, GJZJ01048175.1.p1, GJZJ01094969.1.p1, GJZJ01179570.1.p1, GJZJ01260629.1.p1, jg29813.t1.p1, GJZJ01278341.1.p1, GJZJ01134210.1.p1, GJZJ01152229.1.p1, GJZJ01011974.1.p1, GJZJ01061663.1.p1, jg29812.t1.p1, jg29812.t2.p1	FBpp0306552, FBpp0306553, FBpp0290554
OG0000051	jg9487.t1.p1, GJZJ01132326.1.p1, GJZJ01115938.1.p1, jg24357.t1.p1, GJZJ01156886.1.p1	FBpp0305788
OG0000051	jg34374.t1.p1, jg34367.t1.p1, GJZJ01091814.1.p1, jg34358.t1.p1, GJZJ01183516.1.p1, jg30113.t1.p1, GJZJ01145631.1.p1, jg29515.t1.p1, jg34376.t1.p1, GJZJ01077525.1.p1, GJZJ01150292.1.p1	FBpp0079378, FBpp0289244, FBpp0289176, FBpp0289177, FBpp0309802, FBpp0070563, FBpp0312361, FBpp0084716, FBpp0080157, FBpp0310257, FBpp0111939, FBpp0309925, FBpp0078746
OG0000053	jg35872.t1.p1, GJZJ01191628.1.p1, GJZJ01245514.1.p1, GJZJ01253306.1.p1, GJZJ01268351.1.p2, GJZJ01101626.1.p2, GJZJ01102326.1.p2, GJZJ01040770.1.p1, GJZJ01161470.1.p1, GJZJ01101641.1.p1, GJZJ01155550.1.p1, jg7655.t1.p1, GJZJ01170326.1.p1, GJZJ01179271.1.p1	FBpp0078131
OG0000057	GJZJ01037350.1.p1, GJZJ01012323.1.p1	FBpp0082159, FBpp0074694
OG0000059	GJZJ01086109.1.p1, jg31363.t1.p1, GJZJ01175884.1.p1, jg31364.t1.p1, GJZJ01038655.1.p1, jg22624.t1.p1, GJZJ01230609.1.p1, GJZJ01091730.1.p1, GJZJ01195239.1.p2, GJZJ01060406.1.p1, GJZJ01206931.1.p1, GJZJ01222374.1.p1, GJZJ01183007.1.p1, GJZJ01034935.1.p1	FBpp0070843, FBpp0309511, FBpp0070844, FBpp0070846
OG0000060	GJZJ01268195.1.p1, jg7907.t1.p1, GJZJ01068806.1.p1	FBpp0073556
OG0000060	jg20391.t1.p1, GJZJ01267489.1.p1, GJZJ01112477.1.p1, GJZJ01025316.1.p1	FBpp0074538, FBpp0074499, FBpp0086839, FBpp0289074
