HOG,error,coef_.Intercept._Estimate,coef_.Intercept._StdErr,coef_.Intercept._z.value,coef_.Intercept._p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,qvalue,p_adj_bh,p_adj_bonferroni
N5.HOG0067255,,-0.117893819763823,0.123666487507806,-0.953320678380079,0.340427617492821,0.387890677698839,0.0549893885209722,7.05391873108214,1.73947997618516e-12,9.68644561206423e-10,1.3627847822985347e-09,2.0809398955103068e-08
N5.HOG0013421,,-0.804581657152539,0.582870804904929,-1.3803773501467,0.167470490261574,1.9213966035568,0.272638331132688,7.04741917827281,1.8226662640455197e-12,9.68644561206423e-10,1.3627847822985347e-09,2.180455651677655e-08
N5.HOG0040581,,-0.240341983130915,0.172786277233031,-1.39097842131742,0.164231970362514,0.551721709880222,0.0787810994728013,7.00322429583127,2.50137889036602e-12,1.25114553615432e-09,1.7602350391440407e-09,2.9923995665448696e-08
N5.HOG0063598,,-0.0339396066970161,0.171865246085908,-0.19747800948687,0.843453488483039,0.532410818982064,0.0780570359930286,6.82079215805241,9.05398540523453e-12,4.27705225911164e-09,6.017379300156705e-09,1.0831282740282069e-07
N5.HOG0062008,,0.0262873723357458,0.153079681745131,0.171723458241263,0.863654942755492,0.459396471643903,0.0686547823941697,6.6913979714677,2.2104859727845197e-11,8.950467919906241e-09,1.2592401758295815e-08,2.644404369242121e-07
N5.HOG0035035,,-0.0447926273066229,0.204651559140875,-0.218872641355198,0.826749258793964,0.63200979184075,0.0950285787785855,6.65073391567098,2.91635102022371e-11,1.12718288687433e-08,1.5858321479516474e-08,3.4888307254936245e-07
N5.HOG0067769,,-0.0282862906594374,0.12104548543678,-0.233683152720395,0.815230967853184,0.355976614130058,0.0536923357520861,6.62993347455977,3.3583819293697795e-11,1.18986068358909e-08,1.6740134592104448e-08,4.0176323021050673e-07
N5.HOG0068537,,-0.164177937582127,0.108390818934093,-1.51468490778684,0.129852218214618,0.31609413160212,0.0479956563289208,6.58589038632754,4.5216733489650896e-11,1.42400886435234e-08,2.003436232358125e-08,5.409277827366936e-07
N5.HOG0067887,,-0.0623348457249594,0.0953283361595531,-0.653896293968965,0.513178621765192,0.27489961598916,0.0422054594396729,6.51336627153869,7.34850289257432e-11,2.01849358418735e-08,2.8398160170039328e-08,8.791014010386659e-07
N5.HOG0056774,,0.0424378261779394,0.213879714989743,0.198419126283082,0.842717154317271,0.639882363837298,0.099507375160023,6.43050188800851,1.27183300725055e-10,3.08986367822121e-08,4.34712521878238e-08,1.5214938265738329e-06
N5.HOG0068297,,-0.151866465155199,0.152546531382832,-0.995541909596581,0.319472771640858,0.437112097301903,0.0682035340334703,6.40893618631835,1.46538508336714e-10,3.46119874329617e-08,4.869556042311416e-08,1.7530401752321096e-06
N5.HOG0014288,,-1.94999513149513,0.687324645497651,-2.83708018367834,0.0045528176582668,2.0276758021462,0.320392789560035,6.32871858611617,2.47205481187868e-10,5.29861116491258e-08,7.454609205534131e-08,2.957319171450465e-06
N5.HOG0041015,,-0.0278269612767483,0.160689853826706,-0.173171862529404,0.862516339924095,0.455469072232907,0.0720265065822182,6.32363131082846,2.55486899128061e-10,5.29861116491258e-08,7.454609205534131e-08,3.056389774268994e-06
N5.HOG0066999,,-0.116493723668152,0.18308589750891,-0.636279064926246,0.524594547626735,0.524275751649823,0.0830224998732044,6.3148634701499,2.70400087630059e-10,5.47437834863068e-08,7.701895829329514e-08,3.2347962483183957e-06
N5.HOG0068259,,-0.029557450115972,0.0528834994434062,-0.558916305219234,0.576218840973432,0.149312229392993,0.0236710293087315,6.30780467742129,2.8302106428933e-10,5.59664262647183e-08,7.873909283937802e-08,3.385780992093255e-06
N5.HOG0003965,,-1.75143393835596,0.698726820088031,-2.50660757252068,0.0121895960062534,1.95376527195498,0.310183305917312,6.29874411254038,3.00066873531901e-10,5.75131575466776e-08,8.091518708258936e-08,3.5897000080621317e-06
N5.HOG0064145,,0.0518984606296496,0.18359555969405,0.282678190671577,0.777423535982981,0.524201995354913,0.0832524402755769,6.29653609695684,3.04370427043093e-10,5.75131575466776e-08,8.091518708258936e-08,3.6411834187165214e-06
N5.HOG0036452,,-0.0427872362231381,0.120135833947424,-0.356157149929667,0.721722880013438,0.329579686559621,0.0532185486956795,6.19294765898751,5.90493424571724e-10,1.01744720168561e-07,1.4314451541672286e-07,7.064072838151534e-06
N5.HOG0029146,,-1.71130686458054,0.66295633624433,-2.58132665912079,0.0098421404034964,2.65231900845281,0.428639504956773,6.18776145871177,6.10245781681256e-10,1.01744720168561e-07,1.4314451541672286e-07,7.300370286252866e-06
N5.HOG0062969,,-0.0471420429047119,0.155985973521214,-0.302219756305848,0.762484544635784,0.427425704271326,0.0696554478699123,6.13628534941848,8.44733693145419e-10,1.33015830005885e-07,1.871397994647898e-07,1.0105549171098649e-05
N5.HOG0064600,,0.0061169231814004,0.217988036615353,0.0280608205678461,0.977613642416338,0.618583507909384,0.100891462528105,6.1311779253578,8.72307810866921e-10,1.34860368957997e-07,1.897348789345632e-07,1.0435418341400976e-05
N5.HOG0054356,,0.0472520050678336,0.183811645271925,0.257067526912839,0.797126645100167,0.507736168905715,0.0830958556453521,6.11024659367732,9.94773131632743e-10,1.46569238445866e-07,2.0620807229675382e-07,1.1900470973722505e-05
N5.HOG0059388,,-0.137283335681002,0.236744642433692,-0.579879376655599,0.561995964187435,0.67987735559239,0.111282919193212,6.10944932538992,9.99754927126283e-10,1.46569238445866e-07,2.0620807229675382e-07,1.1960068193211724e-05
N5.HOG0057165,,-0.0214910457118181,0.172757736963827,-0.124399902948011,0.900998650188166,0.473796673271117,0.0776508741787073,6.10162703617105,1.0499414230282e-09,1.51317908619604e-07,2.1288897023197214e-07,1.2560449243686356e-05
N5.HOG0026636,,0.258386487216913,0.182943727531931,1.41238232489722,0.157837417945347,0.503954506504351,0.08264740567007,6.09764459535665,1.07642738269141e-09,1.51644705252447e-07,2.1334873999270972e-07,1.2877300779137339e-05
N5.HOG0068302,,-0.0667801966354922,0.0619891567150448,-1.07728835451773,0.281351463279769,0.168589503416832,0.0276677804612481,6.0933512051305,1.1057110991848202e-09,1.51644705252447e-07,2.1334873999270972e-07,1.3227621879548004e-05
N5.HOG0061537,,-0.0026119092080764,0.219173791349009,-0.0119170690619539,0.990491779640063,0.664093830730236,0.109142292629739,6.0846608104811,1.16738181991162e-09,1.57561333541492e-07,2.2167283669210653e-07,1.3965388711602712e-05
N5.HOG0067954,,-0.0973492833395217,0.197639337381927,-0.492560259658227,0.622323333675,0.542970531557647,0.0899516949684963,6.03624569551258,1.5774102325181601e-09,2.09576195140724e-07,2.9485247830648046e-07,1.887055861161475e-05
N5.HOG0056761,,-0.66572865023692,0.38819515249222,-1.71493292990119,0.0863575243796589,1.6643409694443,0.277771439280354,5.99176421361479,2.0757673961817804e-09,2.59565546210343e-07,3.6518243177239174e-07,2.483240536052264e-05
N5.HOG0056745,,0.109133248746507,0.2496044074819,0.437224846498036,0.661948292161056,0.707261861516665,0.118194487616676,5.98388195404198,2.17881248827489e-09,2.68502316447654e-07,3.7775556227873203e-07,2.6065133797232508e-05
N5.HOG0065993,,-0.0148388914676723,0.178296579447413,-0.0832258897711996,0.933671927087478,0.475960374569005,0.08016798184719,5.93703824896383,2.90216979338323e-09,3.41849675174717e-07,4.809478665544515e-07,3.471865723824358e-05
N5.HOG0061654,,0.13628694034168,0.177994869173088,0.765679038810661,0.443867302250574,0.474930288848748,0.0800192109565121,5.93520334894151,2.9348152017449604e-09,3.41849675174717e-07,4.809478665544515e-07,3.510919425847496e-05
N5.HOG0064130,,-0.215383851347744,0.15266947749741,-1.41078527861863,0.158307936532989,0.402835072926631,0.0679844417343768,5.92540091011639,3.1153639508603505e-09,3.57976355456854e-07,5.036364722181402e-07,3.7269098944142374e-05
N5.HOG0065229,,-0.184738089290409,0.157213956736505,-1.17507435806119,0.239964968314214,0.413035775058205,0.0700850473036104,5.89335087795435,3.784416268053451e-09,4.17107024027975e-07,5.868273334722399e-07,4.527297181472343e-05
N5.HOG0043151,,-1.42635199579752,0.601331744124444,-2.3719885233638,0.017692640264202,1.59449645252761,0.270655483639647,5.89124015181798,3.8330802689290905e-09,4.17107024027975e-07,5.868273334722399e-07,4.585513925719871e-05
N5.HOG0066991,,-0.0670313909172709,0.155649074953857,-0.430657175040344,0.666717661763477,0.405681261447267,0.0693319132976903,5.8512918820716,4.877693557746171e-09,5.12043391002183e-07,7.203931855718203e-07,5.835184803131744e-05
N5.HOG0063012,,-0.003961093674134,0.172726185776427,-0.0229327919002463,0.98170388311486,0.452581163784922,0.0773894688736212,5.84809755606409,4.9722692573288504e-09,5.15606113106966e-07,7.254055747003053e-07,5.9483257125425036e-05
N5.HOG0062759,,0.0984374214171859,0.147322032447873,0.668178545880543,0.504019628490761,0.382714510971102,0.0654780226390364,5.84493079580166,5.06778904345234e-09,5.19179705305494e-07,7.304332569496427e-07,6.062596032682035e-05
N5.HOG0059649,,0.0134525213794213,0.209640267030634,0.064169548961009,0.948835223815167,0.559245386429898,0.0957348764263766,5.84160556012182,5.17001021426128e-09,5.23346575572728e-07,7.362956213477107e-07,6.184883219320769e-05
N5.HOG0035027,,-2.05522290913808,0.773007045724663,-2.6587376150128,0.0078434020430112,1.98324336205673,0.342239319018482,5.79490213966219,6.8361030869805806e-09,6.68138691599977e-07,9.400034624086056e-07,8.178030122954869e-05
N5.HOG0067306,,-0.0625924715220956,0.133449375757824,-0.469035326442326,0.639044385375649,0.342160836312218,0.0591486230387699,5.78476418779763,7.261411980567781e-09,7.01345182711554e-07,9.867216318721562e-07,8.686827152353236e-05
N5.HOG0067190,,-0.018991914483139,0.130345326876801,-0.1457046058973,0.88415458519703,0.333971781338172,0.0577512543369602,5.78293554265596,7.3408196302450805e-09,7.01345182711554e-07,9.867216318721562e-07,8.78182252366219e-05
N5.HOG0060139,,-0.0612978256135936,0.19210488481444,-0.319085200112444,0.749661906134344,0.497291668579451,0.0866843606901004,5.7368095538858,9.647663610734781e-09,8.82097264950575e-07,1.2410215029593568e-06,0.00011541499977522019
N5.HOG0019899,,0.644670539964337,0.142014966175174,4.53945494145413,5.63998306492189e-06,0.358895575731714,0.0630055114390143,5.69625684380174,1.22466342828236e-08,1.07355002480195e-06,1.5103761435610178e-06,0.00014650648592541871
N5.HOG0047839,,0.397957699192135,0.2321949103161,1.71389501453918,0.0865480088405736,0.60911146646281,0.107224783170647,5.68069664914515,1.34147216938588e-08,1.16394608296511e-06,1.6375542410574777e-06,0.00016048031562363282
N5.HOG0060905,,0.0180085829195823,0.231097772550657,0.0779262505251314,0.937886717999851,0.605118335624873,0.106618043447822,5.67557156421664,1.38226340366179e-08,1.18089249302007e-06,1.6613961234799891e-06,0.00016536017098005992
