HOG,error,coef_.Intercept._Estimate,coef_.Intercept._StdErr,coef_.Intercept._z.value,coef_.Intercept._p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,qvalue
N5.HOG0066052,,0.286717234103424,0.130822843289376,2.19164502845436,0.0284051479071813,-0.317543034527606,0.0714181015510475,-4.44625420770442,8.73805402925758e-06,0.0001876276380628
N5.HOG0061896,,0.292055567669657,0.107357287260125,2.72040748349025,0.0065201514241286,-0.249689972812308,0.0561702819203556,-4.44523267955723,8.77967908666945e-06,0.0001880465659608
N5.HOG0058563,,0.569607176756998,0.214645718580471,2.6537085413304,0.007961255928168,-0.682162305602266,0.153674737253419,-4.43900095613853,9.03774151631273e-06,0.0001926035520221
N5.HOG0033085,,0.197946434529571,0.130733364256055,1.51412331240763,0.129994567014763,-0.315770962918204,0.071286940808136,-4.42957657234977,9.44182851576966e-06,0.0001995015418549
N5.HOG0062014,,0.395869569780324,0.226012550680215,1.75153799463305,0.0798532825500282,-0.768208489127033,0.17344102012779,-4.42922031109494,9.45743744396327e-06,0.0001995015418549
N5.HOG0052662,,0.289883666307639,0.130722612976296,2.21754797970726,0.0265856681758723,-0.315476114263487,0.0712674085184152,-4.42665337244541,9.5706340267949e-06,0.0002004434862256
N5.HOG0050757,,0.757463470588027,0.225328693192435,3.36159350083809,0.0007749411489163,-0.760976390589025,0.171905531365341,-4.42671265168173,9.56800539946375e-06,0.0002004434862256
N5.HOG0064308,,0.19149077017178,0.185405782309355,1.03281983866216,0.301688217889318,-0.514624119315979,0.116430888947709,-4.41999648003295,9.87025089568428e-06,0.0002047017744348
N5.HOG0054877,,0.4377376255545,0.185920151669363,2.3544388363719,0.0185506963172025,-0.517025436189691,0.116966719840113,-4.42027815173782,9.85739375608811e-06,0.0002047017744348
N5.HOG0021928,,0.366092399129062,0.181817550427738,2.0135151874382,0.0440604588583198,-0.497627214991304,0.112722273039485,-4.41463076970592,1.01182537736012e-05,0.0002093346002854
N5.HOG0054087,,0.475078048750586,0.244795912898714,1.94071070519528,0.0522933771619221,-1.00673584563668,0.228077967683653,-4.41399866835464,1.01478582850049e-05,0.0002094375020136
N5.HOG0063563,,0.197281176633564,0.143612490590354,1.37370486245724,0.169533326731924,-0.354446965211024,0.0803469558881183,-4.41145481235886,1.02678384673405e-05,0.0002114006156975
N5.HOG0038592,,0.334994848893086,0.24459944126141,1.36956506182313,0.170822712134482,-0.995765575197592,0.225876656274131,-4.40844836125562,1.04113836721458e-05,0.0002132979647197
N5.HOG0050191,,0.368952661960181,0.231132869368282,1.5962795035106,0.110426404122959,-0.798370506201058,0.181767383328976,-4.3922649464349,1.12175879729879e-05,0.0002276474201148
N5.HOG0033675,,0.258935559352732,0.149669903114389,1.73004427720405,0.0836223647325705,-0.37214451655686,0.0847536796322181,-4.39089509944291,1.12884994385506e-05,0.0002285410387864
N5.HOG0054726,,0.804505145260203,0.236136695219434,3.40694674545437,0.0006569394344642,-0.847593664544116,0.193292102090169,-4.3850403372856,1.15964287666239e-05,0.00023311014201
N5.HOG0070467,,0.599469208522276,0.251142889419693,2.38696468734372,0.0169881229529034,-1.39426837681052,0.318124694861238,-4.38277316829704,1.17178099427718e-05,0.0002344416619148
N5.HOG0005244,,-0.44184475967066,0.744461802594061,-0.593508972698211,0.552840579908713,-1.63365482015436,0.37480090964948,-4.35872693500711,1.30821221050052e-05,0.0002592974094718
N5.HOG0066342,,0.246401288449252,0.118590248710148,2.07775336614306,0.0377320810133669,-0.274533426573807,0.0629936320939713,-4.35811394656953,1.31188081307435e-05,0.0002594198455771
N5.HOG0063259,,0.265832339766459,0.196516903893323,1.35271996708621,0.176145109089954,-0.553414134318198,0.127124292143353,-4.35333109815184,1.34084407419684e-05,0.0002645320384463
N5.HOG0027923,,0.676932292121734,0.154447944535597,4.3829155134254,1.17101534327153e-05,-0.383752128551613,0.08816440112699,-4.35268797435447,1.34478482146745e-05,0.0002646953570372
N5.HOG0014237,,0.269669514003787,0.56269736601399,0.479244315490687,0.631764831296208,-2.58201432615034,0.593609929318786,-4.34968183418597,1.3633519502763e-05,0.0002677301979579
N5.HOG0061840,,0.392476528285776,0.169155230053,2.32021515481847,0.0203292411840212,-0.435622207226088,0.100181104553956,-4.34834701778987,1.37167447744449e-05,0.0002687438905511
N5.HOG0048982,,0.554006738486377,0.196945590030218,2.81299387511735,0.0049082586054424,-0.553647610697777,0.127424547828678,-4.34490543723297,1.39335672828345e-05,0.0002717397062091
