"HOG","error","fit","coef_.Intercept._Estimate","coef_.Intercept._StdErr","coef_.Intercept._z.value","coef_.Intercept._p.value","coef_orb_weavingTRUE_Estimate","coef_orb_weavingTRUE_StdErr","coef_orb_weavingTRUE_z.value","coef_orb_weavingTRUE_p.value","logLik","qvalue"
"N5.HOG0059881",NA,NA,-1.70247978851694,0.928795655539246,-1.83299714890301,0.0668029950817489,0.427999620619011,0.586580711301715,0.729651712667491,0.465603103974455,NA,0.918819175414744
"N5.HOG0059910",NA,NA,-2.81172527168481,1.45215552723078,-1.93624251601115,0.0528380055240759,0.55298994687623,0.90958819393063,0.607956381323046,0.543216403785869,NA,0.92158185833144
"N5.HOG0059930","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0059934",NA,NA,-1.26485705632777,0.566885628820001,-2.23123852859108,0.0256653331011563,0.0437860295028834,0.386627020919485,0.113251343371579,0.909831291338839,NA,0.934152329147895
"N5.HOG0059936","system is computationally singular: reciprocal condition number = 3.09335e-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0059937","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0059939",NA,NA,-1.81591744697387,0.79819222430468,-2.27503775616927,0.0229036649968278,1.60059467483131,0.552621672116084,2.89636609563711,0.00377511712848047,NA,0.253737534420259
"N5.HOG0059941",NA,NA,-1.21447363530465,0.677855299873931,-1.79164142484469,0.0731904229736811,-0.929753166487426,0.760882150710927,-1.22194109247893,0.221729904357684,NA,0.867515830506373
"N5.HOG0059942",NA,NA,-136769.753431305,NA,NA,NA,-91600421012.2728,NA,NA,NA,NA,NA
"N5.HOG0059945",NA,NA,-1.26343537712705,0.617000251373926,-2.04770642202115,0.040588774213173,-0.12351689680754,0.566895801774272,-0.217882892095789,0.827520357062747,NA,0.933192738420773
"N5.HOG0059946",NA,NA,-4.24542814887438,3.50427492916051,-1.21149973523665,0.225703936073512,1.54564267870443,2.40628982559405,0.642334378122074,0.52065609739895,NA,0.92158185833144
"N5.HOG0059950","Lapack routine dgesv: system is exactly singular: U[2,2] = 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0059957","system is computationally singular: reciprocal condition number = 4.7468e-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0059958",NA,NA,-4.09636270430784,3.22491445232211,-1.27022368030824,0.204004964823015,1.63739558171088,2.24508164570455,0.729325628243258,0.465802499038463,NA,0.918819175414744
"N5.HOG0059962","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0059964",NA,NA,-1.91959594775347,1.76469149159631,-1.08777990764665,0.276692281576037,-2.13011614605327,4.27528424954072,-0.498239654189567,0.61831513591047,NA,0.927175877137195
