HOG,error,coef_(Intercept)_Estimate,coef_(Intercept)_StdErr,coef_(Intercept)_z.value,coef_(Intercept)_p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,p_adj_bonferroni
N5.HOG0065534,,0.0372169667794557,0.16551992409851,0.224848863254105,0.822096851819544,0.41728928839984,0.0738234548713907,5.65252993275386,1.58103254363339e-08,0.00018913892319486245
N5.HOG0066618,,0.106015643300118,0.153139594877561,0.692281074563898,0.488760832786259,-0.564784110204226,0.0999385759906654,-5.65131236467666,1.59227436030562e-08,0.00019048378172336133
N5.HOG0065417,,0.228899196560717,0.150038782958463,1.52560019514479,0.127109463507737,-0.543018054627365,0.0962847542192371,-5.63970961997713,1.70337173361838e-08,0.0002037743604927668
N5.HOG0029401,,-0.232670333892412,0.30982621659343,-0.750970451921875,0.452670438697482,0.857108177023814,0.153255531524084,5.59267367709414,2.23599301416193e-08,0.0002674918442841917
N5.HOG0063204,,0.322933607330809,0.147740779224202,2.18581226541892,0.0288293430435938,-0.520669942657908,0.0932048172066939,-5.58629862985788,2.31960228200303e-08,0.00027749402099602245
N5.HOG0066470,,-0.064202745460951,0.0865630996834737,-0.741687228111221,0.458276859808374,0.214523865090038,0.038441304126573,5.58055638236648,2.39750416872169e-08,0.00028681342370417577
N5.HOG0064789,,0.455074107333012,0.181445004232323,2.50805531548465,0.0121397661329296,-0.791727248709147,0.141923655842787,-5.57854322457819,2.42541210221515e-08,0.0002901520497879984
N5.HOG0065340,,0.277472866762723,0.096507229250753,2.87515110439831,0.0040383418315941,-0.287764704822714,0.0516887547455641,-5.56725938241741,2.58777049308913e-08,0.00030957498408825263
N5.HOG0063148,,0.0010161511245767,0.250007256632811,0.0040644865203618,0.996757017886853,0.648803106472483,0.116576419087365,5.56547466075671,2.61439773788252e-08,0.0003127604013828859
N5.HOG0059162,,0.0860065393050357,0.194461177128041,0.442281285011484,0.658285671960695,0.487448242808066,0.0876003779720646,5.56445364840219,2.62975014552916e-08,0.0003145970099096534
N5.HOG0066673,,0.200316450537944,0.120147711395851,1.66725148744582,0.0954644086427183,-0.380799454442081,0.0684441408224473,-5.56365307338611,2.64184911462778e-08,0.0003160444095829213
N5.HOG0063488,,0.0223220120647109,0.18315853210798,0.121872630271742,0.902999891898149,0.456452542126631,0.0821094285333093,5.55907586108046,2.71206807004551e-08,0.00032444470321954435
N5.HOG0036803,,0.147048197450401,0.209674885131889,0.701315264142888,0.483106289884699,0.528648134149676,0.0951595377628251,5.55538778958001,2.76996111407895e-08,0.0003313704480772648
N5.HOG0066518,,0.281470791910913,0.117807978426457,2.38923369767035,0.0168835589015181,-0.36746419872229,0.0664971265431551,-5.52601620287779,3.27583891308228e-08,0.00039188860917203314
N5.HOG0059939,,0.198940724341549,0.153507461384343,1.29596778259171,0.19498658470584,0.375695391886186,0.0681873310003043,5.50975359168273,3.5933636334594e-08,0.00042987409147074803
N5.HOG0029521,,0.0894895513074466,0.209004778473467,0.428169881861371,0.668527442124414,0.521740790250098,0.0947300610474413,5.50765812331533,3.63638735988694e-08,0.00043502101986327466
N5.HOG0047829,,0.179675971176077,0.145409573145975,1.23565434715706,0.216587073981668,-0.495349449482343,0.0899961820339265,-5.5041162667946,3.71024643168152e-08,0.0004438567806220603
N5.HOG0055199,,-0.137944665948538,0.199424311191352,-0.69171439091083,0.489116707743788,0.493849493823994,0.0899336542763438,5.49126461943287,3.99065911854001e-08,0.0004774025503509414
N5.HOG0062342,,0.503917965465497,0.134868709707299,3.7363593568822,0.0001867037975392,-0.439928924355519,0.0801247972196945,-5.49054649273278,4.00691994355517e-08,0.00047934783284750497
N5.HOG0030535,,0.130599915037104,0.11545964870284,1.13113036895887,0.258000223832465,-0.354431606397928,0.0645955989005381,-5.48693119083343,4.08976346808475e-08,0.0004892584036869786
N5.HOG0060153,,-0.461694690600833,0.310026243705816,-1.48921163925379,0.136431646805446,0.833700645964314,0.152269587633207,5.47516190805328,4.37111765977431e-08,0.0005229168056388007
N5.HOG0068268,,-0.108813491344468,0.179997590878357,-0.604527487359563,0.545493000015094,0.440532093692974,0.0805133060841638,5.47154396109964,4.46131642489351e-08,0.0005337072839100105
N5.HOG0068007,,0.137383005145654,0.119498970675567,1.14965848131564,0.25028456106458,-0.368641276239736,0.0675060737462237,-5.46086086454343,4.73831297197165e-08,0.0005668443808369686
N5.HOG0053081,,0.185448698256944,0.180567473126863,1.02703269335032,0.30440506975518,0.440831622189728,0.0807714495297454,5.45776539552363,4.82164145310802e-08,0.0005768129670353124
N5.HOG0016910,,0.231179654608303,0.128194885363985,1.80334538271096,0.0713339894693226,-0.403836253409107,0.0742158405376125,-5.44137545952126,5.28707491355194e-08,0.0006324927719082186
N5.HOG0028455,,-0.380103649941843,0.305083329811755,-1.24590107947353,0.212800713748148,0.808855671175745,0.148730589319116,5.43839485124519,5.37627233418884e-08,0.0006431634593390109
N5.HOG0062605,,0.551680206663449,0.169367842149247,3.25729016596497,0.0011248138661977,-0.634354428821743,0.116725496268109,-5.43458326674988,5.49246445249272e-08,0.0006570635224517041
N5.HOG0066153,,0.0465782073673027,0.123664337612753,0.376650279833781,0.706433516977643,0.297348467105966,0.0547434538004224,5.43167166963937,5.5828572135951e-08,0.0006678772084623818
N5.HOG0066140,,0.212379341401495,0.132654007460344,1.60100207651083,0.109376459226233,-0.422487268588024,0.0778237721811433,-5.42876882920348,5.67441251099784e-08,0.0006788299686906716
N5.HOG0040236,,9.16744586116165,0.193805548788377,47.3022878781036,0.0,-0.894587911518355,0.164837414413894,-5.42709259726749,5.72794159801714e-08,0.0006852336533707905
N5.HOG0067335,,0.119424364896101,0.0940001881883372,1.27046942349546,0.203917467735773,-0.269101695504101,0.0497646174613258,-5.40749048685507,6.3913936523448e-08,0.0007646024226300084
N5.HOG0065489,,-0.0073739160650654,0.13066326123508,-0.0564345019048531,0.95499567219527,0.312466723461667,0.0578532119176201,5.40102637527892,6.62606816125948e-08,0.0007926765341314717
N5.HOG0061759,,0.403352760475579,0.143384060174981,2.81309344974149,0.0049067389119249,-0.469878645370013,0.0870740468263993,-5.39631109952678,6.8024957968771e-08,0.0008137825721804075
N5.HOG0032600,,0.185201813166974,0.0900836722296244,2.05588658391825,0.0397934495813272,-0.254691219130304,0.0472744509764543,-5.38750242191405,7.14435132620984e-08,0.0008546787491544832
N5.HOG0064290,,0.228404260117038,0.14388232473542,1.58743793260946,0.112413493849681,-0.471196245167929,0.0874618704102317,-5.38744761526169,7.14652953342037e-08,0.0008549393280830789
N5.HOG0066524,,0.198680006990752,0.13324763929671,1.49105836350572,0.135946172514015,-0.42039571376498,0.078055010576046,-5.38589016467309,7.20869760841055e-08,0.0008623764948941541
N5.HOG0047946,,0.443116703295915,0.126402986439066,3.50558729488187,0.0004556010699513,-0.390156884089765,0.0724782105440118,-5.3830921205325,7.32170426697376e-08,0.0008758954814580709
