"HOG","error","coef_(Intercept)_Estimate","coef_(Intercept)_StdErr","coef_(Intercept)_z.value","coef_(Intercept)_p.value","coef_orb_weavingTRUE_Estimate","coef_orb_weavingTRUE_StdErr","coef_orb_weavingTRUE_z.value","coef_orb_weavingTRUE_p.value"
"N5.HOG0055912",NA,"0.489004061262436","0.166841210932875","2.93095487936237","0.00337921859152669","-0.0578698111454886","0.117742565814173","-0.49149439495672","0.623076815457858"
"N5.HOG0055913",NA,"-1.16442771879653","0.712381057928939","-1.63455738447313","0.102141867376405","-0.136963066189239","0.518254281370619","-0.264277732210943","0.791565917608731"
"N5.HOG0055914",NA,"0.159317979002531","0.204853560352008","0.777716426938193","0.436736205865772","0.787893028977631","0.340060904074347","2.31691740961018","0.0205082312078222"
"N5.HOG0055915",NA,"0.193889726820212","0.188981608772296","1.02597140578811","0.304905062482171","0.14988744942394","0.12514321741304","1.19772731213415","0.23102319294952"
"N5.HOG0055917",NA,"0.354764359739565","0.160686517673786","2.20780414483673","0.0272579290185926","-0.179537307169109","0.118983157446327","-1.50893043202436","0.13131656190797"
"N5.HOG0055918",NA,"0.200726165977072","0.179562268683441","1.11786383324741","0.263625153667943","0.044719280295169","0.122429800703309","0.36526466626814","0.714913851152279"
"N5.HOG0055921",NA,"-1.37788174796698","1.06225566010326","-1.29712817706525","0.194587087950546","0.0925164248771315","0.714165850410353","0.129544733655316","0.896926630794712"
"N5.HOG0055922",NA,"-0.0336719268281001","0.31035627683705","-0.108494428310787","0.913603499991242","-0.217488904039206","0.233630236553856","-0.930910772711866","0.351899721535287"
"N5.HOG0055923",NA,"-1.93902561791782","1.07747344666288","-1.79960408669311","0.0719231753414255","0.810056286091216","0.674136905768672","1.2016198477779","0.229510848054166"
"N5.HOG0055927",NA,"-1.42047799752897","0.581916035498752","-2.44103601013761","0.0146451943459333","0.740681335572745","0.529463964766573","1.39892681062684","0.161834931801718"
"N5.HOG0055928",NA,"-0.802606941429224","0.611630620909387","-1.31224126783562","0.18943874181595","-0.227370500966157","0.462456265973049","-0.491658385226436","0.622960861630956"
"N5.HOG0055930",NA,"-0.168733439528531","0.263188875508635","-0.641111594106851","0.521450181941954","0.294114379987315","0.169154924911721","1.73872785637669","0.0820826437299487"
